document_idx,topic,probability,date,macro_theme
216,0,0.8308685906953909,2021-12-10 12:29:00,Market and Financial Services
217,0,0.8767943214382065,2021-12-10 12:59:00,Market and Financial Services
218,0,1.0,2021-12-10 14:13:00,Technology and Innovation
219,0,1.0,2021-12-10 14:41:00,Market and Financial Services
220,0,1.0,2021-12-10 15:48:00,Governance and Organizations
221,0,1.0,2021-12-10 16:47:00,Technology and Innovation
222,0,0.5928728153650855,2021-12-10 17:50:00,Technology and Innovation
223,-1,0.0,2021-12-11 00:00:00,Legal and Regulatory Affairs
224,0,1.0,2021-12-13 08:35:00,Technology and Innovation
225,0,0.3787649397990509,2021-12-13 08:56:00,Technology and Innovation
226,0,1.0,2021-12-13 12:09:00,NFTs and Digital Collectibles
227,8,1.0,2021-12-13 13:21:00,Governance and Organizations
228,0,1.0,2021-12-13 14:01:00,Legal and Regulatory Affairs
229,0,0.6798755666682832,2021-12-13 14:52:00,Technology and Innovation
230,0,0.3857911617947505,2021-12-13 15:16:00,Legal and Regulatory Affairs
231,0,0.4034625061357801,2021-12-13 15:53:00,Technology and Innovation
232,0,1.0,2021-12-13 17:29:00,Technology and Innovation
233,0,0.3867012971273431,2021-12-13 19:00:00,Market and Financial Services
234,-1,0.0,2021-12-13 21:00:00,NFTs and Digital Collectibles
235,-1,0.0,2021-12-14 09:21:00,NFTs and Digital Collectibles
236,2,1.0,2021-12-14 09:58:00,Market and Financial Services
237,0,1.0,2021-12-14 10:44:00,Security and Fraud
238,-1,0.0,2021-12-14 11:40:00,NFTs and Digital Collectibles
239,0,1.0,2021-12-14 12:01:00,Market and Financial Services
240,0,1.0,2021-12-14 12:06:00,Technology and Innovation
241,0,0.7172109821736685,2021-12-14 12:26:00,Market and Financial Services
242,0,1.0,2021-12-14 13:47:00,Market and Financial Services
243,0,0.8647833164764025,2021-12-14 15:25:00,Technology and Innovation
244,0,1.0,2021-12-14 17:04:00,Technology and Innovation
245,-1,0.0,2021-12-14 20:00:00,Market and Financial Services
246,0,1.0,2021-12-15 00:00:00,Market and Financial Services
247,0,1.0,2021-12-15 12:09:00,Technology and Innovation
248,0,1.0,2021-12-15 16:37:00,Technology and Innovation
249,0,1.0,2021-12-15 17:06:00,NFTs and Digital Collectibles
250,-1,0.0,2021-12-15 19:17:00,Market and Financial Services
251,0,1.0,2021-12-15 21:00:00,Technology and Innovation
252,0,1.0,2021-12-16 01:00:00,Technology and Innovation
253,-1,0.0,2021-12-16 09:48:00,NFTs and Digital Collectibles
254,-1,0.0,2021-12-16 10:37:00,Market and Financial Services
255,0,1.0,2021-12-16 11:36:00,NFTs and Digital Collectibles
256,0,1.0,2021-12-16 12:14:00,Market and Financial Services
257,0,0.5960335440130229,2021-12-16 13:51:00,Technology and Innovation
258,0,1.0,2021-12-16 15:31:00,Market and Financial Services
259,0,1.0,2021-12-16 16:39:00,Technology and Innovation
260,0,0.3562615343034239,2021-12-16 18:23:00,Legal and Regulatory Affairs
261,0,1.0,2021-12-17 10:02:00,Technology and Innovation
262,0,1.0,2021-12-17 10:55:00,NFTs and Digital Collectibles
263,0,0.8915608679443459,2021-12-17 11:41:00,Technology and Innovation
264,0,1.0,2021-12-17 12:07:00,Market and Financial Services
265,0,1.0,2021-12-17 13:03:00,Legal and Regulatory Affairs
266,0,1.0,2021-12-17 14:12:00,Market and Financial Services
267,0,1.0,2021-12-17 16:37:00,Technology and Innovation
268,0,1.0,2021-12-17 18:17:00,Technology and Innovation
269,-1,0.0,2021-12-17 21:00:00,NFTs and Digital Collectibles
270,-1,0.0,2021-12-18 03:00:00,Technology and Innovation
271,0,1.0,2021-12-18 17:03:00,Legal and Regulatory Affairs
